rowID,Name,Profile Link,Investor Type,Investment Areas,Typical Investment,Funding Stage
e2d0098c-6e93-4423-b801-5a5fa8824b9b,Stone Ventures,https://www.eu-startups.com/investor/stone-ventures/,VC Firm,"Financial Contracts, Investing, Finance, Insurance, B2C, B2B",€100k-€1.5M,Pre-Seed / Seed
ecdff1b1-902d-4c90-93a7-c65443065b73,Launchbay Capital,https://www.eu-startups.com/investor/launchbay-capital/,VC Firm,"E-Commerce, Finance, Financial Services, FinTech, Venture Capital",€1.5M-€3M,"Pre-Seed / Seed, Series A/B"
bfe459c1-47d8-4524-987c-bb7464c3dd26,Quadri Ventures,https://www.eu-startups.com/investor/quadri-ventures/,VC Firm,"Enterprise SaaS, AI/ML",€1.5M-€3M,"Pre-Seed / Seed, Series A/B"
5159ff41-63b4-422f-8d68-d2739fa609fa,Intuitive Investments Group,https://www.eu-startups.com/investor/intuitive-investments-group/,VC Firm,"Financial Contracts, Investing, Finance, Insurance, B2C, B2B",€100k-€1.5M,Series A/B
a1f3cc49-4388-45ee-b6d9-0ac172bae547,C16 Ventures,https://www.eu-startups.com/investor/c16-ventures/,VC Firm,"Financial Services, Space Travel, Venture Capital",Above €3M,"Series A/B, Series C & Beyond"
4fbf915d-a278-43ee-88f2-872f6879c6d2,Angaza Capital,https://www.eu-startups.com/investor/angaza-capital/,VC Firm,"Angel Investment, Financial Services, Venture Capital",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
0d34c687-30fb-45b8-a5aa-ee1f623bb018,Braavos Investment Advisers,https://www.eu-startups.com/investor/braavos-investment-advisers/,VC Firm,"Venture Capital, Investment Management, Financial Services, International Trade, Private Equity, Startups, Financial Support, Capital Management, Entrepreneurial, Business Management and Planning, Business Partnerships, Financial Contracts, Finance, Insurance",Above €3M,"Series A/B, Series C & Beyond"
6aff8396-6207-463a-9d1a-8e70ba556f5a,2100 Ventures,https://www.eu-startups.com/investor/2100-ventures/,VC Firm,"Blockchain, DeFi, Web3, Gaming",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
fd77d1db-68d9-4e35-8c95-cd8964a271fa,IAG Silverstripe,https://www.eu-startups.com/investor/iag-silverstripe-3/,VC Firm,"Financial Services, Series A to Series C Equity Investments, Embedded Finance, Credit Opportunities, Digital Customer Journeys",Above €3M,"Series A/B, Series C & Beyond"
f0e78d40-82b0-4a0f-99fb-1113b4a5d2aa,IAG Silverstripe,https://www.eu-startups.com/investor/iag-silverstripe-2/,VC Firm,"Financial Services, Series A to Series C Equity Investments, Embedded Finance, Credit Opportunities, Digital Customer Journeys",Above €3M,"Series A/B, Series C & Beyond"
ecb680ef-36dc-4ea2-bf53-aba3d2d8b4d7,Lingotto,https://www.eu-startups.com/investor/lingotto/,VC Firm,"Finance, Financial Services, Venture Capital",0-€100k,"Series A/B, Series C & Beyond"
20c40d38-24d6-47cf-82ef-fe7942f9e777,QuantumLight,https://www.eu-startups.com/investor/quantumlight/,VC Firm,"Venture-Backed Companies, Systematic Venture Capital, Growth Equity, AI-Driven Investments, Tech Businesses",Above €3M,Series A/B
8edc7e09-d905-4c3b-a99c-d0b656802ae8,The ERA Foundation,https://www.eu-startups.com/investor/the-era-foundation/,VC Firm,"Financial Services, Non Profit",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
c20edfc0-b851-46f0-a14d-da9df6108712,Wellcome Trust,https://www.eu-startups.com/investor/wellcome-trust/,VC Firm,"Biotechnology, Health Care, Medical, Non Profit",Above €3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
c76eb95d-12e3-4f86-9496-57ce04645718,Chroma Ventures,https://www.eu-startups.com/investor/chroma-ventures/,Corporate VC,"Venture Capital, Investment, Funding, Seedhaus",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
c703c952-6773-4e52-ab0f-1c8c6e830456,UKTV Ventures,https://www.eu-startups.com/investor/uktv-ventures/,Corporate VC,"Broadcasting, Media, Acquisitions, Commissions, Content",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
1340280b-8a34-4f45-bfa9-652cb11e85d4,AccuraCast,https://www.eu-startups.com/investor/accuracast/,Corporate VC,"App Marketing, Brand Marketing, Consulting, Digital Marketing, Marketing, Marketing Automation, Mobile Advertising, SEM, Social Media Marketing",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
e2b5d6cb-ed7f-4865-bd29-7146240eb557,Sequoia Economic Infrastructure Income Fund,https://www.eu-startups.com/investor/sequoia-economic-infrastructure-income-fund/,Corporate VC,"Financial Services, Investment, Funding, Infrastructure, Corporate debt",€1.5M-€3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
9099b287-5e8b-4a6a-ab4c-db6a4c59db46,Centrica Innovations,https://www.eu-startups.com/investor/centrica-innovations/,Corporate VC,"Financial Services, Energy Retail, Connected Home, Sustainability, Home Services",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
4e6cff4c-5120-475a-952b-10a10c35d496,Hackquarters,https://www.eu-startups.com/investor/hackquarters/,Corporate VC,"Incubators, Social Impact, Venture Capital",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
a731f7ad-9f9a-4fbe-8946-30e8d81429aa,Hays Technology Ventures,https://www.eu-startups.com/investor/hays-technology-ventures/,Corporate VC,"Staffing Agency, Recruitment, Staffing solutions, Resourcing, Career transition",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
b26576f3-806a-494c-90fd-c543bc033137,Unilever Ventures,https://www.eu-startups.com/investor/unilever-ventures/,Corporate VC,"Financial Services, Venture Capital, Private Equity Principals, Wellnes",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
