rowID,Country,Country Code,Name,Profile Link,Investor Type,Investment Areas,Typical Investment,Funding Stage
0253dbe1-5163-4489-8458-9e1f162a03a6,Austria,AT,A1 Start Up Campus,https://www.eu-startups.com/investor/a1-start-up-campus/,Accelerator,"Voice Telephony, Broadband Internet, Multimedia Services, Payment Solutions",0-€100k,Pre-Seed / Seed
7294234b-a637-4a7d-9a20-5bbd412c99b2,Austria,AT,accent Inkubator,https://www.eu-startups.com/investor/accent-inkubator/,Accelerator,"Business Consulting, Financial Services, Investments, Incubators",0-€100k,Pre-Seed / Seed
247d6144-1a18-45cd-8567-80a92ecda0eb,Austria,AT,Agro Innovation Lab,https://www.eu-startups.com/investor/agro-innovation-lab/,Accelerator,"AgTech, Agricultural Engineering , Smart Farming, Precision Farming",0-€100k,Pre-Seed / Seed
d41e1d2a-0a1b-4602-b406-946b298e9b36,Austria,AT,Kvantia,https://www.eu-startups.com/investor/kvantia/,VC Firm,"Financial Services, impact invetsting",€1.5M-€3M,Pre-Seed / Seed
47fbd470-4838-480d-96ca-207e13a3d980,Austria,AT,Fjord Invest,https://www.eu-startups.com/investor/https-www-linkedin-com-company-448502fjord-invest/,VC Firm,"Financial Contracts, Investing, Finance Insurance, Financial Advisers, Consulting & Professional Services, Investment Management, Venture Capital, B2C, B2B",€1.5M-€3M,Pre-Seed / Seed
0f8dee97-44aa-4e6f-8178-83d08f0077df,Austria,AT,Radforsk Invest,https://www.eu-startups.com/investor/radium-hospital-research-foundation/,VC Firm,"Biotechnology, Medical, Oncology, Smart Home",€1.5M-€3M,Pre-Seed / Seed
213f6d0a-18e7-47fc-b290-35b9d0233178,Austria,AT,Wiski Capital,https://www.eu-startups.com/investor/wiski-capital/,VC Firm,"fintech, deeptech, SaaS, B2B",€100k-€1.5M,Pre-Seed / Seed
05ad998e-5f10-49d4-886c-c38b7579b977,Austria,AT,Pale blue dot,https://www.eu-startups.com/investor/pale-blue-dot/,VC Firm,"Climate tech, agtech, foodtech, logistics, biotech",€1.5M-€3M,Pre-Seed / Seed
200855a0-10df-4f52-8ac2-4dd04c071de7,Austria,AT,HERAN Partners,https://www.eu-startups.com/investor/heran-partners/,VC Firm,"Health-Tech, Med-Tech, Bio-Tech, Biopharma",Above €3M,Pre-Seed / Seed
e31b11be-7e34-454b-a411-e4568e556cae,Austria,AT,Symbia VC,https://www.eu-startups.com/investor/symbia-vc/,VC Firm,"Climate-Tech, Deep-Tech, Construction-Tech, Logistics, Automatization",€100k-€1.5M,Series A/B
04336f58-53ef-486f-81a1-e8f80ab0d373,Austria,AT,Zen11 Holdings,https://www.eu-startups.com/investor/zen11-holdings/,VC Firm,"Clean-Tech, Green-Tech, Social Impact, Envi-Tech",€100k-€1.5M,Pre-Seed / Seed
b8b7123d-9e75-4791-a528-bdcab0105654,Austria,AT,OOE Hightechfonds,https://www.eu-startups.com/investor/ooe-hightechfonds/,VC Firm,"Robotics, SaaS, Artificial Intelligence, B2B Enterprise",€100k-€1.5M,Pre-Seed / Seed
fc48c559-66fb-4672-8722-34a1eaadb466,Austria,AT,Calm/Storm Ventures,https://www.eu-startups.com/investor/calm-storm-ventures/,VC Firm,"Med-Tech, Health-Tech, Insur-Tech, Health Care",€100k-€1.5M,Series A/B
e25028d4-5891-4533-98df-67947376381b,Austria,AT,New Renaissance Ventures,https://www.eu-startups.com/investor/new-renaissance-ventures/,VC Firm,"Cultural Industry, Creative Industries, Artificial Intelligence, Consumer",€100k-€1.5M,Pre-Seed / Seed
bfcc1272-a492-4530-b238-42eedb7f35d1,Austria,AT,Pioneers Ventures,https://www.eu-startups.com/investor/pioneers-ventures/,VC Firm,"B2B SaaS, Fintech, Green-Tech, Ed-Tech, Marketplace",0-€100k,Pre-Seed / Seed
37838c0e-c07b-48d9-9f8f-486e130b8dca,Austria,AT,APEX Ventures,https://www.eu-startups.com/investor/apex-ventures/,VC Firm,"Deep-Tech, Med-Tech, Robotics, Artificial Intelligence, Mobility,",€100k-€1.5M,Series A/B
8e323e52-a1e6-4451-84ef-5502c1038012,Austria,AT,3VC,https://www.eu-startups.com/investor/3vc/,VC Firm,"B2B SaaS, Med-Tech, Artificial Intelligence, Gaming, Agnostic",Above €3M,Series A/B
4ca83474-1fe8-4d00-92c6-cf42c18867cf,Austria,AT,PUSH VC,https://www.eu-startups.com/investor/push-vc/,VC Firm,"Green-Tech, Clean-Tech, Med-Tech, Insur-Tech, Med-Tech, Food & Beverage, Fin-Tech, Deep-Tech, Ed-Tech",€100k-€1.5M,Pre-Seed / Seed
22dc99dd-0550-41fa-9111-2f66c0d4c742,Austria,AT,CNB Capital,https://www.eu-startups.com/investor/cnb-capital/,VC Firm,"B2B, Industrial Automation, Information Technology, Manufacturing, Software, Venture Capital",€1.5M-€3M,Pre-Seed / Seed
850ea5b4-fe74-41b1-beae-30f461ae9f95,Austria,AT,xista science ventures,https://www.eu-startups.com/investor/xista-science-ventures/,VC Firm,"Deep-Tech, Med-Tech, Green-Tech, Bio-Tech",€1.5M-€3M,Pre-Seed / Seed
