rowID,Name,Profile Link,Investor Type,Investment Areas,Typical Investment,Funding Stage
e2dc5dd9-5b42-4e25-a335-949db3e0defe,Döhler Ventures,https://www.eu-startups.com/investor/dohler-ventures/,VC Firm,"Food and Beverage, Food-Tech, Agri-Tech",€100k-€1.5M,Pre-Seed / Seed
db345d2c-e117-4f13-a50a-947ec20a59d6,BlackMars Capital,https://www.eu-startups.com/investor/blackmars-capital/,VC Firm,"Bio-Tech, Deep-Tech, Reg-Tech",€1.5M-€3M,Pre-Seed / Seed
637b896d-d955-4d08-b6b4-5a44d02b9748,Ananda Impact Ventures,https://www.eu-startups.com/investor/ananda-impact-ventures/,VC Firm,"Climate, Biodiversity, Sustainability, Healthcare, TechBio, Wellbeing, Education, Impact",€1.5M-€3M,"Pre-Seed / Seed, Series A/B"
c1cf4c30-3363-428a-97a0-9a8c288c84c9,EKK & Co,https://www.eu-startups.com/investor/ekk-co/,VC Firm,"Agnostic, SaaS, Gaming, Marketpalce",€1.5M-€3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
be25c82c-91ea-4257-a612-17b6c53f49ca,Startupbootcamp Digital Health Berlin,https://www.eu-startups.com/investor/startupbootcamp-digital-health-berlin/,Accelerator,"Big Data, Health Care, Data Analytics, Health Care",0-€100k,Pre-Seed / Seed
17a65b20-df3e-47c7-baca-252b41d0d17a,Redstone,https://www.eu-startups.com/investor/redstone-2/,VC Firm,"Prop-Tech, Reg-Tech Real Estate",€100k-€1.5M,Pre-Seed / Seed
0b5017e8-484f-4cf3-88e2-2d9e21b09501,Haas New Media,https://www.eu-startups.com/investor/haas-new-media/,VC Firm,"Media, TV, Radio",€100k-€1.5M,Pre-Seed / Seed
43b040c5-7f66-4b05-b92f-dc90d93317bf,Atlantic Labs,https://www.eu-startups.com/investor/atlantic-labs/,VC Firm,"Green-Tech, Artificial Intelligence, Deep-Tech, Automation, Fin-Tech, Prop-Tech, Med-Tech",€1.5M-€3M,Series A/B
87795f63-89de-4f38-b14f-47f440dee0c0,Future Energy Ventures,https://www.eu-startups.com/investor/future-energy-ventures/,VC Firm,"Green-Tech, Clean-Tech, Envi-Tech, Energy",Above €3M,Series C & Beyond
581c4646-c46c-46c8-ae3f-0def74cbf215,EnBW New Ventures,https://www.eu-startups.com/investor/enbw-new-ventures/,VC Firm,"Green-Tech, Clean-Tech, Envi-Tech, Smart Cities",€1.5M-€3M,Series C & Beyond
d7a8fad8-9e80-4be0-8536-40f52d51c07f,Friedrich & Wagner,https://www.eu-startups.com/investor/friedrich-wagner/,VC Firm,"Deep-Tech, Prop-Tech, Green-Tech",€100k-€1.5M,Pre-Seed / Seed
437faf7d-2aaf-4d4b-a3db-c979310e2c2e,Planet A Ventures,https://www.eu-startups.com/investor/planet-a-ventures/,VC Firm,"Green-Tech, Clean-Tech, Sustainablity, Circular Economy",€1.5M-€3M,Series A/B
53bde3a7-671c-47bb-8f69-79b1922e1781,FOSTEC Ventures,https://www.eu-startups.com/investor/fostec-ventures/,VC Firm,[email protected],€100k-€1.5M,Pre-Seed / Seed
371cfbef-bc09-48ce-a85a-0d8626963dfe,Statkraft Ventures,https://www.eu-startups.com/investor/statkraft-ventures/,VC Firm,"Green-Tech, Clean-Tech, Sustainablity, Envi-Tech",Above €3M,Series C & Beyond
73678a20-4b9a-40a2-a114-4226e0aec442,World Fund,https://www.eu-startups.com/investor/world-fund/,VC Firm,"Green-Tech, Clim-Tech, Clean-Teach, Food-Tech, Manufacturing",€1.5M-€3M,Series A/B
c322bf89-82b7-47a7-bf29-bdca84bbea6f,FH Ventures,https://www.eu-startups.com/investor/fh-ventures/,VC Firm,"Agnostic, Green-Tech, Med-Tech, Prop-Tech",€100k-€1.5M,Pre-Seed / Seed
4bda59a9-1fb6-48d0-a55c-a1f2341b905b,Leblon Capital,https://www.eu-startups.com/investor/leblon-capital/,VC Firm,"Med-Tech, Health-Tech, Bio-Tech",€100k-€1.5M,Pre-Seed / Seed
d26f1a69-ab15-4b02-b0bd-c5de7bf9e53f,Heal Capital,https://www.eu-startups.com/investor/heal-capital/,VC Firm,"Med-Tech, Health-Tech, Bio-Tech",€1.5M-€3M,Series A/B
cd779c08-6abc-42fd-a44a-dde0993daae5,GR Capital,https://www.eu-startups.com/investor/gr-capital/,VC Firm,"FinTech, Med-Tech, Health-Tech, Bio-Tech",Above €3M,Series A/B
113ab363-a093-44c0-bd57-1fa2286a5ee8,Incharge Capital Partners,https://www.eu-startups.com/investor/incharge-capital-partners/,VC Firm,"Deep-Tech, Moblity, AI",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
e0334c09-fdfd-4f82-828c-941d95dd68d6,Heliad Equity Partners,https://www.eu-startups.com/investor/heliad-equity-partners/,VC Firm,"FinTech, Internet, Life Science, Food & Beverage, Agnostic",Above €3M,Series C & Beyond
c070c6a9-3fbb-4d47-9d8d-27f0e73f0a5d,Hyperion Invest,https://www.eu-startups.com/investor/hyperion-invest/,VC Firm,"Agnostic, Logistics, Green-Tech, HR-Tech",€100k-€1.5M,Pre-Seed / Seed
b8d1bd87-7996-498c-baca-ccf89666db87,Hessen Kapital,https://www.eu-startups.com/investor/hessen-kapital/,VC Firm,"Deep-Tech, Clean-Tech, Med-tech",€100k-€1.5M,Pre-Seed / Seed
355da1ba-0412-4650-a131-8bf01ebc6555,Orange Corp,https://www.eu-startups.com/investor/orange-corp/,Accelerator,"Artificial Intelligence (AI), Fashion, Food Processing, Media, Entertainment",0-€100k,Pre-Seed / Seed
abba3976-cd1e-4211-a078-16cb34570a6b,Barmenia Next Strategies,https://www.eu-startups.com/investor/barmenia-next-strategies/,VC Firm,"Insur-Tech, Fin-Tech, Health-Tech",€100k-€1.5M,Pre-Seed / Seed
1a014dd9-bce8-49e9-995c-903e18f9b882,Acton Capital,https://www.eu-startups.com/investor/acton-capital/,VC Firm,"Financial Services, FinTech, SaaS, Venture Capital",€1.5M-€3M,Series A/B
104795e6-fda8-4fe8-8d7e-6f9992b656a1,Moonwalk Ventures,https://www.eu-startups.com/investor/moonwalk-ventures/,VC Firm,"Agnostic, SaaS, Marketplace, Sports-Tech",€100k-€1.5M,Pre-Seed / Seed
01dabaf3-03c1-4f03-a65f-06ffa67a9cd1,Yabeo,https://www.eu-startups.com/investor/yabeo/,VC Firm,"Med-Tech, Health-Tech, Bio-Tech",Above €3M,Series C & Beyond
8a0bd7b5-439a-4f0f-80c2-90ff9618cd32,NBank Capital,https://www.eu-startups.com/investor/nbank-capital/,VC Firm,"Agnostic, Fin-Tech, Med-Tech, Deep-Tech, Green-Tech",0-€100k,Pre-Seed / Seed
9491f804-91a6-435b-9f59-c0657c7f93b8,TVM Capital Life Science,https://www.eu-startups.com/investor/tvm-capital-life-science/,VC Firm,"Med-Tech, Health-Tech, Bio-Tech",€100k-€1.5M,Series C & Beyond
bf35c636-0124-49d3-b9b5-a167e01bbb2c,Senovo,https://www.eu-startups.com/investor/senovo/,VC Firm,"SaaS, B2B Enterprise, B2B SaaS",€1.5M-€3M,Series A/B
d032816a-95ff-413a-97db-f62173b8e3a6,Nenio Ventures,https://www.eu-startups.com/investor/nenio-ventures/,VC Firm,"Agnostic, Deep-Tech, Manufacturing, Hardware",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
